,importance
Feature_103,0.011254219916511713
Feature_84,0.011122529122665918
Feature_75,0.009431300346382399
Feature_107,0.009361873514354295
Feature_82,0.009258246027373433
Feature_166,0.009145080708489425
Feature_110,0.008865045902210295
Feature_147,0.008821577020341469
Feature_122,0.008728931559970912
Feature_80,0.008715970565724382
Feature_109,0.008531469490255045
Feature_74,0.008526800369271066
Feature_76,0.008255736180215223
Feature_108,0.007762346108741331
Feature_78,0.0072422246104854975
Feature_116,0.007152904241098033
Feature_111,0.007040860361781371
Feature_81,0.0069343751069337175
Feature_65,0.006873975938457284
Feature_121,0.006863861443900213
Feature_101,0.006813721814534657
Feature_105,0.0066303310446757515
Feature_152,0.006614435226742341
Feature_64,0.006570740951162067
Feature_102,0.006563602929297467
Feature_145,0.006501788864166196
Feature_99,0.006487865017273148
Feature_128,0.006217662089539256
Feature_68,0.006204134967438237
Feature_69,0.00619466005255717
Feature_72,0.006191009404232924
Feature_172,0.006087045084945842
Feature_106,0.0060736762122668595
Feature_77,0.006000350796494856
Feature_104,0.005976624112106027
Feature_130,0.005969304872655535
Feature_154,0.00595235610216734
Feature_156,0.005908398128187265
Feature_87,0.005899357300609811
Feature_173,0.0058635791669183835
Feature_96,0.005816859121867007
Feature_85,0.005756738184775343
Feature_155,0.005700867275109582
Feature_53,0.005677048958963932
Feature_150,0.005662920716181285
Feature_89,0.005601946040122879
Feature_120,0.0055987281771750115
Feature_70,0.005583937670286228
Feature_73,0.005571026722899986
Feature_86,0.005555099171946178
Feature_118,0.005552547235581291
Feature_83,0.005543463487760185
Feature_88,0.005521918958796591
Feature_31,0.005493131069160725
Feature_129,0.00549079527142398
Feature_67,0.0054816355177764115
Feature_170,0.005475293403595097
Feature_171,0.005458563621431896
Feature_117,0.00543287293242178
Feature_174,0.005407005858194303
Feature_162,0.005391704353487855
Feature_127,0.005308190796242937
Feature_161,0.005282948295150264
Feature_186,0.005278413520612138
Feature_159,0.005275382124291503
Feature_135,0.005272277850296863
Feature_188,0.005271184026914992
Feature_92,0.00526402829616032
Feature_28,0.005250532860410637
Feature_1,0.005238364670112213
Feature_94,0.005219921008276335
Feature_79,0.005214269351485887
Feature_113,0.00518786822805504
Feature_90,0.005182333939259375
Feature_115,0.005180732959968175
Feature_119,0.005177626811495585
Feature_91,0.0051756131326778166
Feature_38,0.005150184429415819
Feature_185,0.0051243314040171324
Feature_146,0.0051191441669990794
Feature_153,0.005112156356525792
Feature_15,0.005109218977000668
Feature_165,0.005102032022511917
Feature_98,0.00508947449523531
Feature_35,0.005074992099048494
Feature_93,0.00507102630426092
Feature_18,0.005070233243045886
Feature_39,0.005060467672527864
Feature_164,0.005055590105994908
Feature_141,0.005037314714581854
Feature_71,0.005020179876871326
Feature_149,0.0050199941432739325
Feature_45,0.005001120947171548
Feature_66,0.004979488406892035
Feature_114,0.004967417075875559
Feature_176,0.004962836521823105
Feature_22,0.004955186355234441
Feature_95,0.004942182647487185
Feature_123,0.0048998828769841974
Feature_178,0.004874161148821852
Feature_143,0.0048583024291839385
Feature_44,0.004819907877486323
Feature_3,0.004815957271543668
Feature_24,0.004811802344244679
Feature_140,0.00479777452742894
Feature_132,0.004793582756841226
Feature_125,0.004776812484493848
Feature_42,0.004764784181547624
Feature_148,0.0047645972927086565
Feature_184,0.004740283938114668
Feature_163,0.004719509075165259
Feature_112,0.004717990491828702
Feature_151,0.004705219662502815
Feature_142,0.004695903074920932
Feature_58,0.0046758405521859225
Feature_26,0.004664760774181888
Feature_139,0.0046418864317270036
