,importance
Feature_103,0.012331580333870924
Feature_84,0.011977132870725318
Feature_75,0.010679500694831251
Feature_122,0.010029372192949096
Feature_82,0.00965274272523175
Feature_107,0.009596169902340667
Feature_80,0.009541839666747987
Feature_110,0.009439190737113568
Feature_74,0.009171988417175862
Feature_166,0.009098265307594496
Feature_109,0.008940599570970525
Feature_147,0.00876225907973465
Feature_76,0.008375716217153478
Feature_108,0.00793802319546738
Feature_111,0.007866202521705674
Feature_65,0.007854232096052368
Feature_116,0.007644686329449712
Feature_78,0.007440578348147734
Feature_81,0.007202170162458996
Feature_101,0.00707065914082208
Feature_145,0.006821676676739808
Feature_121,0.006760961186174646
Feature_72,0.006726485280382478
Feature_128,0.006719006808106734
Feature_102,0.006694479706731521
Feature_99,0.00666060686136751
Feature_64,0.006556328710682615
Feature_172,0.0064034386584206045
Feature_105,0.006214002410218555
Feature_106,0.006200177767694939
Feature_130,0.006147415501987707
Feature_69,0.0060790075664756285
Feature_53,0.0060731203218775355
Feature_31,0.006069165197446655
Feature_86,0.006068461034974834
Feature_170,0.006032121151459763
Feature_96,0.005987681602959841
Feature_154,0.005987445333378388
Feature_85,0.00595708184001269
Feature_152,0.005949091692261711
Feature_174,0.005870745133130892
Feature_77,0.005854976018465597
Feature_88,0.005836178233218732
Feature_173,0.00581215444856565
Feature_67,0.005799955646705799
Feature_68,0.005775697038363354
Feature_156,0.005770673509828859
Feature_118,0.005725493899579869
Feature_188,0.005665812393582506
Feature_155,0.0056512255568473965
Feature_117,0.005592307449575407
Feature_83,0.005589891878392107
Feature_150,0.00556105389308006
Feature_120,0.005552327707043253
Feature_87,0.00555038552659259
Feature_70,0.005497523751243287
Feature_186,0.005465852869279547
Feature_104,0.005434002315676072
Feature_92,0.005419247032976587
Feature_171,0.0053938987730790915
Feature_94,0.005387517613099968
Feature_93,0.005382211896117834
Feature_45,0.00533181899704647
Feature_73,0.005323513062399134
Feature_153,0.005305530627348069
Feature_143,0.005296126032979736
